NCTId,Title,Condition,Eligibility,Status
NCT04995276,PostmenopausAL heaLth And DIseAse (PALLADIA) Study,Menopause,"Inclusion Criteria:

Postmenopausal women

Exclusion Criteria:

Men Women of reproductive age",RECRUITING
NCT06100276,"Safety, Tolerability, and Exploratory Efficacy Study of Intrathecally Administered Gene Therapy AMT-162 in Adult Participants with SOD1 Amyotrophic Lateral Sclerosis (SOD1-ALS)",Amyotrophic Lateral Sclerosis,"Inclusion Criteria:

* Confirmed clinical and genetic diagnosis of SOD1-mediated ALS (SOD1-ALS) experiencing signs and/or symptoms of lower motor neuron dysfunction (weakness, atrophy, cramps, fasciculations), with or without upper motor neuron symptoms (weakness, bring reflexes, spasticity).
* ALSFRS-R score ≥ 25 at Screening.
* Slow vital capacity (SVC) ≥50% of predicted normal value.
* Capable of providing informed consent and complying with trial procedures, including: medically able to undergo lumbar puncture and has a responsible caregiver able to attend all clinic visit with the Participant.

Exclusion Criteria:

* SOD1 pathogenic or likely pathogenic variants in amino acid regions 43-47.
* Pathogenic repeat expansion in the C9orf72 gene
* Any of the following prior or concomitant treatments:

  * Any prior SOD1 suppression therapy with viral microRNA mediators
  * Prior SOD suppression therapy with antisense oligonucleotide (ASO) mediators such as tofersen (QALSODY™). Exception: Patients who previously received tofersen may be enrolled if the last dose of tofersen was received at least 20 weeks prior to the first Screening assessment and if there were no previous tofersen-related SAEs or ongoing tofersen-related adverse events that would increase the risk of receiving AMT-162, per Investigator judgment.
  * Other ALS medications riluzole (RILUTEK®, TIGLUTIK®), edaravone (RADICAVA®), and sodium phenylbutyrate and taururosdiol combination (RELYVRIO) or bioequivalents are allowed if dose is stable for 30 days prior to immunosuppression.
  * Any prior administration of an AAV gene therapy.
* Participants must be willing to forego new ALS treatments through at least 6 months after infusion of AMT-162. After 6 months, Investigators and participants may decide to add new ALS medications or change existing ALS medications.",RECRUITING
NCT05690776,"PMCF Study on the Safety, Performance and Clinical Benefits Data of the Quattro X Broadband","Rotator Cuff Tears, Rotator Cuff Injuries","Inclusion Criteria:

1. Subject treated with the Quattro® X Suture Anchor with BroadBand™ Tape for rotator cuff repair;
2. Older than 18 years and skeletally mature;
3. Willing and able to comply with the study procedures;
4. Subject is capable of understanding the doctor's explanations, following his instructions and is able to participate in the follow-up program;
5. Subject is able to read and understand the ICF and has voluntarily provided written informed consent.

Exclusion Criteria:

1. Presence of infection;
2. Insufficient or immature bone;
3. Insufficient blood supply or previous infections which may hinder the healing process;
4. Foreign body sensitivity;
5. Subject is vulnerable (prisoner, mentally incompetent or unable to understand what participation to the study entails, a known alcohol or drug abuser, anticipated to be non-compliant);
6. The subject is unwilling or unable to give consent or to comply with the follow-up program;
7. Subject meets any contraindications of the appropriate Instruction for Use.",RECRUITING
NCT03668327,Preterm Birth Cohort Study in Guangzhou,"Preterm Birth, Neurodevelopment, Immune Development, Host and Microbiome","Inclusion Criteria:

1. Born before 37 weeks of gestation
2. Born in Guangzhou Women and Children's Medical Center
3. Intended to remain in Guangzhou for more than 3 years

Exclusion Criteria:

1. Multiple birth
2. Stillbirth
3. With major congenital abnormalities",RECRUITING
NCT03869476,Pilot Study for the Development of a Diagnostic Score to Differentiate Myeloproliferative Neoplasms.,"Myeloproliferative Disorder, Essential Thrombocythemia, Primary Myelofibrosis, Prefibrotic Stage, Primary Myelofibrosis, Fibrotic Stage","Inclusion Criteria:

* Adult (18 years of age or older) with the diagnosis of essential thrombocytosis, prefibrotic myelofibrosis or overt myelofibrosis according to WHO 2016 criteria;
* Patient who has not received specific treatment for neoplasms;
* Patient who has signed the consent to participate in the study;
* Patient who has consented to be included in the ""Malignant Haemopathies"" collection at the University Hospital of Angers or Brest and for whom the samples necessary for the study are available in the biocollection.

Exclusion Criteria:

* Patient with another hematologic neoplasm or progressive cancer at the time of diagnosis;
* Patient with a diagnosis of secondary myelofibrosis;
* Pregnant or breastfeeding woman;
* Person prived of liberty by judicial or administrative decision;
* Person subject to a legal protection measure;",RECRUITING
NCT06113276,Quantitative Computed Tomography for Mortality Risk Stratification in ARDS,Acute Respiratory Distress Syndrome,"Inclusion Criteria:

* Patient aged 15 or older with ARDS according to the Berlin definition
* invasive mechanical ventilation with PaO2/FiO2 ≤ 300 mm Hg
* with computed tomography acquired at both end-expiration and end-inspiration, or at both PEEP 5 and 15 cm H2O at end-expiration
* PEEP setting according to a PEEP/FiO2 table, with secondary adjustment according to hemodynamic tolerance
* Tidal volume 6 ml/kg of predicted body weight or less

Exclusion Criteria:

* Use of contrast agent during computed tomography acquisition
* ARDS criteria onset since more than 72 hours or ECMO onset since more than 72 hours
* Proven COPD
* Pneumothorax or bronchopleural fistula
* Patient with spontaneous breathing preventing realization of end-expiratory and end-inspiratory pauses
* Previous inclusion in current study
* Patient under a legal protective measure",RECRUITING
NCT06597227,Proximal Gastrectomy Vs Total Gastrectomy in Locally Advanced Upper Gastric Cancer After Neoadjuvant Therapy,Locally Advanced Gastric Cancer,"Inclusion Criteria:

* To be eligible to participate in this study, all patients must meet all the following criteria:

  1. The subjects voluntarily joined the study and were able to sign the informed consent with good compliance;
  2. Age 18-75 years old (at the time of signing the informed consent), both male and female;
  3. Histologically and/or cytologically confirmed upper gastric carcinoma (adenocarcinoma), locally advanced according to AJCC Edition 8 criteria, cT3-4 or N+M0 according to endoscopic ultrasound or enhanced CT/MRI scanning (combined with diagnostic laparoscopic exploration if necessary) , and consent to neoadjuvant therapy. Investigators assessed the lesion as resectable or potentially resectable;
  4. Have not received systematic treatment for the current disease, including anti-tumor chemoradiotherapy/immunotherapy;
  5. ECOG score 0-1;
  6. Expected survival ≥6 months;
  7. Preoperative chest, abdominal, pelvic CT or PET-CT to exclude distant metastasis;
  8. The major organs function well and meet the following criteria:

  <!-- -->

  1. Blood routine examination (no blood transfusion within 14 days, no hematopoietic stimulating drugs to correct the state) : hemoglobin (Hb) ≥90g/L; Absolute neutrophil count (ANC) ≥1.5×109/L; Platelet (PLT) ≥80×109/L;
  2. Biochemical examination: alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ≤2.5×ULN; Serum total bilirubin (TBIL) ≤1.5×ULN; Serum creatinine (Cr) ≤1.5×ULN, or creatinine clearance ≥60mL/min;
  3. Coagulation function: activated partial thromboplastin time (APTT), International standardized ratio (INR), prothrombin time (PT) ≤1.5×ULN;
  4. Doppler ultrasound evaluation: left ventricular ejection fraction (LVEF) ≥50%;
  5. Assessed with adequate organ function by doctors. 9. Fertile subjects must use appropriate methods of contraception during the study period and within 120 days after the end of the study, have a negative serological pregnancy test within 7 days prior to study enrollment, and must be non-lactating subjects.

Exclusion Criteria:

* To be eligible to participate in this study, all patients must meet all the following criteria:

  1. The subjects voluntarily joined the study and were able to sign the informed consent with good compliance;
  2. Age 18-75 years old (at the time of signing the informed consent), both male and female;
  3. Histologically and/or cytologically confirmed upper gastric carcinoma (adenocarcinoma), locally advanced according to AJCC Edition 8 criteria, cT3-4 or N+M0 according to endoscopic ultrasound or enhanced CT/MRI scanning (combined with diagnostic laparoscopic exploration if necessary) , and consent to neoadjuvant therapy. Investigators assessed the lesion as resectable or potentially resectable;
  4. Have not received systematic treatment for the current disease, including anti-tumor chemoradiotherapy/immunotherapy;
  5. ECOG score 0-1;
  6. Expected survival ≥6 months;
  7. Preoperative chest, abdominal, pelvic CT or PET-CT to exclude distant metastasis;
  8. The major organs function well and meet the following criteria:

  <!-- -->

  1. Blood routine examination (no blood transfusion within 14 days, no hematopoietic stimulating drugs to correct the state) : hemoglobin (Hb) ≥90g/L; Absolute neutrophil count (ANC) ≥1.5×109/L; Platelet (PLT) ≥80×109/L;
  2. Biochemical examination: alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ≤2.5×ULN; Serum total bilirubin (TBIL) ≤1.5×ULN; Serum creatinine (Cr) ≤1.5×ULN, or creatinine clearance ≥60mL/min;
  3. Coagulation function: activated partial thromboplastin time (APTT), International standardized ratio (INR), prothrombin time (PT) ≤1.5×ULN;
  4. Doppler ultrasound evaluation: left ventricular ejection fraction (LVEF) ≥50%;
  5. Assessed with adequate organ function by doctors. 9. Fertile subjects must use appropriate methods of contraception during the study period and within 120 days after the end of the study, have a negative serological pregnancy test within 7 days prior to study enrollment, and must be non-lactating subjects.",RECRUITING
NCT04484727,"""Lung Barometric Measurements in Normal And in Respiratory Distressed Lungs""","Ventilator-Induced Lung Injury, Ventilatory Failure, Ventilator Lung, Ventilation Therapy; Complications, Ventilator Associated Pneumonia","Inclusion Criteria:

* Patients above18 years
* ASA 1-3
* Planned/acute ventilator treatment in ICU or OR

Exclusion Criteria:

* Patients under 18 years
* ASA 4 and above
* severe COPD/emphysema/heart failure
* PEEP\>16 and/or FiO2 \>80%
* elevated intracranial pressure
* defect coagulation
* non-treated known or suspected pneumothorax",RECRUITING
NCT05862727,Preschool Attention and Sleep Support (PASS),"ADHD, Psychiatric Health","Inclusion Criteria:

* child must be ages 3-5 years at intake
* child with score of 30 on the Child Sleep Habits Survey-Short Form and a caregiver rating of child's sleep problems as moderate/severe
* child with ≥80th percentile on the clinician-rated ADHD-RS based on age and sex norms, with at least 4 symptoms in the clinically significant range (scores of 2-3) in either the inattention or hyperactive/impulsive domains
* parent/caregiver must have ability to speak, read, and write in English
* parent/caregiver must have access to a device with internet and/or smartphone to access telehealth visits
* parent/caregiver must have ability to follow written and verbal instructions
* parent/caregiver must have ability and willingness to comply with study procedures.

Exclusion Criteria:

* child with suspected obstructive sleep apnea or restless legs syndrome (via screening questionnaires)
* child with current use of stimulant medication, other psychotropics, or medications for sleep (prescription or over-the-counter, including melatonin)
* child with caregiver report of psychiatric disorder other than ADHD requiring treatment (medication and/or therapy), Autism Spectrum Disorder, or intellectual disability
* parent/caregiver is currently participating in another parent training intervention or have previously participated in another parent training intervention in the past 6 months.
* Severe and/or uncontrolled medical condition (e.g., pulmonary and neurological conditions such as cystic fibrosis and seizure disorder) that would interfere with sleep and/or study participation according to the study team",RECRUITING
NCT06286527,Quality of Sexual Life of PrEP Users,"HIV Pre-exposure Prophylaxis Use, Adult","Inclusion Criteria:

* current PrEP use
* adult

Exclusion Criteria:

* unwilling to participate",RECRUITING
